path,reviewed_on,disposition,note
docs/plans/standards-first-reconciliation.md,2026-09-22,added,Documentation/provenance/design/traceability artifact.
docs/plans/standards-first-traceability.md,2026-09-22,added,Documentation/provenance/design/traceability artifact.
docs/scenarios/scenario-catalogue.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/schemas/digital-calibration-certificate.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/schemas/reference-material-certificate.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/tutorials/01-issue-and-verify-dcc.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/tutorials/02-issue-and-verify-drmd.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
examples/gs/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
examples/rm/source/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
package.json,2026-09-22,reviewed_deferred_to_I0_I8,Executable configuration unchanged in documentation pass; pin/CI/workspace discrepancies recorded.
packages/core-py/pyproject.toml,2026-09-22,reviewed_deferred_to_I0_I8,Executable configuration unchanged in documentation pass; pin/CI/workspace discrepancies recorded.
packages/core-ts/package.json,2026-09-22,reviewed_deferred_to_I0_I8,Executable configuration unchanged in documentation pass; pin/CI/workspace discrepancies recorded.
pnpm-workspace.yaml,2026-09-22,reviewed_deferred_to_I0_I8,Executable configuration unchanged in documentation pass; pin/CI/workspace discrepancies recorded.
pyproject.toml,2026-09-24,updated_I0,Workspace/pins/commands repaired; final coverage and release metadata remain I8.
testdata/examples/calibration-capability/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/calibration-direct-accreditation/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/gs-hair-dryer-external-test-lab-hitl/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/gs-hair-dryer-hitl/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/gs-scheme-authorization/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/nmi-legal-mandate/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/reference-material-recursive/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
testdata/examples/test-report-supported-dcc/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
tests/fixtures/keys/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
tests/scenarios/README.md,2026-09-22,updated,Reconcile target versus current legacy behavior.
docs/plans/standards-first-i0-evidence.md,2026-09-24,added_I0,Observed implementation evidence and reproducibility; see I0 report for boundaries.
docs/plans/standards-first-wire-consumers.csv,2026-09-24,added_I0,Observed implementation evidence and reproducibility; see I0 report for boundaries.
docs/plans/standards-first-static-resources.csv,2026-09-24,added_I0,Observed implementation evidence and reproducibility; see I0 report for boundaries.
uv.lock,2026-09-24,added_I0,Observed implementation evidence and reproducibility; see I0 report for boundaries.
